[2025-01-19 19:35:56] [MainThread           ] [INFO    ] RoRBot: Database setup completed.
[2025-01-19 20:22:29] [MainThread           ] [INFO    ] RoRBot.servers_extension: Servers extension loaded.
[2025-01-19 20:22:29] [MainThread           ] [INFO    ] RoRBot: Database connection established.
[2025-01-19 20:22:29] [MainThread           ] [INFO    ] RoRBot: Database setup completed.
[2025-01-19 20:25:37] [MainThread           ] [INFO    ] RoRBot.servers_extension: Servers extension loaded.
[2025-01-19 20:25:37] [MainThread           ] [INFO    ] RoRBot: Database connection established.
[2025-01-19 20:25:37] [MainThread           ] [INFO    ] RoRBot: Database setup completed.
[2025-03-20 22:46:27] [MainThread           ] [ERROR   ] RoRBot: Error loading extension extensions.servers: Extension 'extensions.servers' raised an error: ImportError: attempted relative import beyond top-level package
[2025-03-20 22:46:27] [MainThread           ] [INFO    ] RoRBot: Database connection established.
[2025-03-20 22:46:27] [MainThread           ] [INFO    ] RoRBot: Database setup completed.
[2025-03-20 22:47:40] [MainThread           ] [ERROR   ] RoRBot: Error loading extension extensions.servers: Extension 'extensions.servers' raised an error: ImportError: cannot import name 'system_message' from 'util' (unknown location)
[2025-03-20 22:47:40] [MainThread           ] [INFO    ] RoRBot: Database connection established.
[2025-03-20 22:47:40] [MainThread           ] [INFO    ] RoRBot: Database setup completed.
[2025-03-20 22:49:24] [MainThread           ] [INFO    ] RoRBot.servers_extension: Servers extension loaded.
[2025-03-20 22:49:24] [MainThread           ] [INFO    ] RoRBot: Database connection established.
[2025-03-20 22:49:24] [MainThread           ] [INFO    ] RoRBot: Database setup completed.
